year,prob,conf_raw,conf_cal,god,consensus,pick,real,hit,tier
2024,0.7375584982481256,73.8,63.2,False,3,1,0,0,STANDARD
2024,0.5382571065180072,53.8,43.0,False,4,1,1,1,STANDARD
2024,0.6042823966258096,60.4,59.7,False,4,1,0,0,STANDARD
2024,0.4193643396098503,58.1,53.5,False,4,0,0,1,STANDARD
2024,0.3868033382402696,61.3,59.7,False,4,0,0,1,STANDARD
2024,0.33789449273600686,66.2,60.3,False,3,0,1,0,STANDARD
2024,0.5130876883616332,51.3,43.0,False,3,1,0,0,STANDARD
2024,0.7160515184471792,71.6,63.2,False,4,1,0,0,STANDARD
2024,0.7959091485217417,79.6,71.2,True,4,1,1,1,VOLUMEN
2024,0.5349158004664452,53.5,43.0,False,2,1,0,0,STANDARD
2024,0.5449118534053782,54.5,43.0,False,4,1,0,0,STANDARD
2024,0.18738167392261312,81.3,61.1,False,4,0,1,0,STANDARD
2024,0.7629513337005598,76.3,71.2,False,4,1,0,0,VOLUMEN
2024,0.7884342966877397,78.8,71.2,False,3,1,0,0,VOLUMEN
2024,0.426406343411676,57.4,53.5,False,4,0,0,1,STANDARD
2024,0.4613291945447591,53.9,43.0,False,4,0,0,1,STANDARD
2024,0.1864517376219113,81.4,61.1,False,4,0,0,1,STANDARD
2024,0.45974375992676025,54.0,43.0,False,1,0,0,1,STANDARD
2024,0.4251103499859201,57.5,53.5,False,4,0,1,0,STANDARD
2024,0.20454204963105638,79.5,71.2,True,4,0,0,1,VOLUMEN
2024,0.1913053550711699,80.9,61.1,True,4,0,1,0,STANDARD
2024,0.8001027816209925,80.0,61.1,True,4,1,1,1,STANDARD
2024,0.3063454495657718,69.4,63.8,False,3,0,1,0,STANDARD
2024,0.7104337638622269,71.0,63.2,False,4,1,0,0,STANDARD
2024,0.6296731663177,63.0,56.2,False,2,1,1,1,STANDARD
2024,0.47478696832009193,52.5,43.0,False,3,0,1,0,STANDARD
2024,0.5938209952624613,59.4,53.5,False,4,1,0,0,STANDARD
2024,0.666657785404537,66.7,63.8,False,4,1,1,1,STANDARD
2024,0.8080320785176623,80.8,61.1,False,4,1,0,0,STANDARD
2024,0.6731547397379725,67.3,63.8,False,4,1,1,1,STANDARD
2024,0.6164142219608829,61.6,59.7,False,2,1,0,0,STANDARD
2024,0.41292874449640915,58.7,53.5,False,1,0,0,1,STANDARD
2024,0.6595908679020415,66.0,63.8,False,4,1,0,0,STANDARD
2024,0.6832166628274243,68.3,63.8,False,4,1,1,1,STANDARD
2024,0.24066630555480745,75.9,71.2,True,4,0,0,1,VOLUMEN
2024,0.5671396290430657,56.7,53.5,False,2,1,1,1,STANDARD
2024,0.7277692758425635,72.8,63.2,False,4,1,1,1,STANDARD
2024,0.7830879737833139,78.3,71.2,True,4,1,0,0,VOLUMEN
2024,0.7725518309186975,77.3,71.2,False,4,1,1,1,VOLUMEN
2024,0.3689771345909323,63.1,59.7,False,3,0,1,0,STANDARD
2024,0.5863174245935371,58.6,53.5,False,4,1,1,1,STANDARD
2024,0.7359497600012291,73.6,63.2,False,3,1,0,0,STANDARD
2024,0.3364301308913642,66.4,60.3,False,4,0,1,0,STANDARD
2024,0.6670982050049631,66.7,63.8,False,4,1,0,0,STANDARD
2024,0.7999613868871019,80.0,61.1,False,4,1,0,0,STANDARD
2024,0.430173247671946,57.0,53.5,False,1,0,0,1,STANDARD
2024,0.601348830357694,60.1,59.7,False,2,1,1,1,STANDARD
2024,0.5654528635361488,56.5,50.0,False,2,1,0,0,STANDARD
2024,0.5197753310412111,52.0,43.0,False,1,1,1,1,STANDARD
2024,0.45441957733124844,54.6,39.5,False,4,0,0,1,STANDARD
2024,0.6559725257290672,65.6,63.8,False,4,1,0,0,STANDARD
2024,0.7237315554504122,72.4,63.2,False,4,1,1,1,STANDARD
2024,0.37512108629538743,62.5,59.7,False,3,0,1,0,STANDARD
2024,0.5806528238653906,58.1,53.5,False,3,1,1,1,STANDARD
2024,0.39201971426054383,60.8,59.7,False,4,0,1,0,STANDARD
2024,0.4581066572957746,54.2,43.0,False,4,0,1,0,STANDARD
2024,0.7523565198966131,75.2,71.2,False,3,1,1,1,VOLUMEN
